Placeholder,Statefip,share_of_students_funded_2010,avg_spending_per_student_2010,year_begin,year_end
,12,0.2425,580.5,1997,3000
,13,0.3071,1191.08,1993,3000
,21,0.3571,493.25,1999,3000
,22,0.2323,708.57,1998,3000
,32,0.2555,326.88,2000,3000
,35,0.2071,494.67,1997,3000
,45,0.1835,887.69,1998,3000
,47,0.2686,919.57,2003,3000
,54,0.0981,484.78,2002,3000
,2,0.0446,43.88,1999,3000
,5,0.0163,55.45,1991,3000
,6,0.0356,254,2001,3000
,16,0.0907,54.41,2001,3000
,17,.,.,1999,2004
,24,.,.,2002,2005
,26,.,.,2000,2008
,28,0.1873,138.11,1996,3000
,29,0.0664,136.89,1997,3000
,34,0.0115,35.79,1997,3000
,36,0.019,12.93,1997,3000
,38,0.0038,22.96,1994,3000
,40,0.1189,58.33,1996,3000
,46,0.0926,100.71,2004,3000
,49,0.0073,18.26,1999,3000
,53,.,.,1999,2006
