"Three Digit Industries","Year","Capital productivity (2007=100)","Capital productivity (percent change)","Capital (2007=100)","Capital (percent change)","Capital costs (Million $)","Capital costs (percent change)","Capital cost share","Capital cost share (percent change)","Capital intensity (2007=100)","Capital intensity (percent change)","Contribution of capital intensity (2007=100)","Contribution of capital intensity (percent change)","Labor productivity (2007=100)","Labor productivity (percent change)","Hours worked (2007=100)","Hours worked (percent change)","Labor compensation (Million $)","Labor compensation (percent change)","Labor cost share","Labor cost share (percent change)","Hours worked (millions)","Hours worked (percent change)","Multifactor productivity (2007=100)","Multifactor productivity (percent change)","Combined inputs (2007=100)","Combined inputs (percent change)","Combined inputs costs (Million $)","Combined inputs costs (percent change)","Implicit combined inputs deflator (2007=100)","Implicit combined inputs deflator (percent change)","Intermediate purchases productivity (2007=100)","Intermediate purchases productivity (percent change)","Intermediate purchases (2007=100)","Intermediate purchases (percent change)","Intermediate purchases costs (Million $)","Intermediate purchases costs (percent change)","Intermediate purchases cost share","Intermediate purchases cost share (percent change)","Intermediate purchases to hours ratio (2007=100)","Intermediate purchases to hours ratio (percent change)","Contribution of intermediate purchases intensity (2007=100)","Contribution of intermediate purchases intensity (percent change)","Output (2007=100)","Output (percent change)","Implicit output deflator (2007=100)","Implicit output deflator (percent change)","Value of production (Million $)","Value of production (percent change)","Unit labor costs (2007=100)","Unit labor costs (percent change)","Labor compensation (2007=100)","Labor compensation (percent change)","Hourly compensation (2007=100)","Hourly compensation (percent change)","Output per employee (2007=100)","Output per employee (percent change)","Employment (2007=100)","Employment (percent change)","Employment (thousands)","Employment (percent change)"
111 - Crop production,1987,,,,,,,,,,,,,,,117.953,,,,,,3309.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.347,,2102.300,
111 - Crop production,1988,,,,,,,,,,,,,,,116.335,-1.4,,,,,3263.901,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.527,-0.8,2085.900,-0.8
111 - Crop production,1989,,,,,,,,,,,,,,,115.871,-0.4,,,,,3250.882,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.584,-1.9,2047.100,-1.9
111 - Crop production,1990,,,,,,,,,,,,,,,110.535,-4.6,,,,,3101.175,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.426,-2.1,2004.100,-2.1
111 - Crop production,1991,,,,,,,,,,,,,,,110.985,0.4,,,,,3113.808,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.092,-0.3,1997.400,-0.3
111 - Crop production,1992,,,,,,,,,,,,,,,109.136,-1.7,,,,,3061.929,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.277,-1.8,1961.200,-1.8
111 - Crop production,1993,,,,,,,,,,,,,,,104.708,-4.1,,,,,2937.707,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.926,-0.4,1954.200,-0.4
111 - Crop production,1994,,,,,,,,,,,,,,,98.278,-6.1,,,,,2757.294,-6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.243,-0.7,1940.600,-0.7
111 - Crop production,1995,,,,,,,,,,,,,,,103.985,5.8,,,,,2917.422,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.169,3.0,1999.000,3.0
111 - Crop production,1996,,,,,,,,,,,,,,,102.376,-1.5,,,,,2872.264,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.287,-1.9,1961.400,-1.9
111 - Crop production,1997,,,,,,,,,,,,,,,107.945,5.4,,,,,3028.535,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.572,4.4,2046.900,4.4
111 - Crop production,1998,,,,,,,,,,,,,,,107.586,-0.3,,,,,3018.437,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.999,1.4,2075.400,1.4
111 - Crop production,1999,,,,,,,,,,,,,,,109.171,1.5,,,,,3062.910,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.891,-0.1,2073.200,-0.1
